RUN	RecordedSimulation	recordedsimulation	1675978374274	Invoice load injection on the online-store app	3.9.0
USER	RecordedSimulation	START	1675978375244
REQUEST		request_0	1675978375243	1675978375409	OK	 
REQUEST		favicon.ico	1675978375450	1675978375519	OK	 
REQUEST		main.5df37fc0d195bfc1.js	1675978375451	1675978375585	OK	 
REQUEST		loading.css	1675978375450	1675978375594	OK	 
REQUEST		runtime.7cbb17a58382fa99.js	1675978375450	1675978375606	OK	 
REQUEST		request_1	1675978375520	1675978375626	OK	 
REQUEST		polyfills.f33c9acbe5b6586e.js	1675978375451	1675978375647	OK	 
REQUEST		request_3	1675978375585	1675978375652	OK	 
REQUEST		styles.ba2e5d9ea866ce22.css	1675978375450	1675978375683	OK	 
REQUEST		request_6	1675978375627	1675978375721	OK	 
REQUEST		request_4	1675978375604	1675978375722	OK	 
REQUEST		request_5	1675978375607	1675978375724	OK	 
REQUEST		request_10	1675978375693	1675978375760	OK	 
REQUEST		request_7	1675978375647	1675978375792	OK	 
REQUEST		request_12	1675978375724	1675978375826	OK	 
REQUEST		request_14	1675978375761	1675978375832	OK	 
REQUEST		request_13	1675978375725	1675978375833	OK	 
REQUEST		request_11	1675978375721	1675978375871	OK	 
REQUEST		request_8	1675978375652	1675978376035	OK	 
REQUEST		request_15	1675978387041	1675978387111	OK	 
REQUEST		request_16	1675978387113	1675978387171	OK	 
REQUEST		request_17	1675978392178	1675978392550	OK	 
REQUEST		request_18	1675978392551	1675978392654	OK	 
REQUEST		request_19	1675978410657	1675978410777	OK	 
REQUEST		request_20	1675978410780	1675978410956	OK	 
REQUEST		request_22	1675978410781	1675978410960	OK	 
REQUEST		request_21	1675978410780	1675978411102	OK	 
REQUEST		request_23	1675978421105	1675978421340	OK	 
REQUEST		request_24	1675978421342	1675978421569	OK	 
REQUEST		request_25	1675978432573	1675978432738	OK	 
REQUEST		request_26	1675978432740	1675978432980	OK	 
REQUEST		request_27	1675978443983	1675978444113	OK	 
REQUEST		request_28	1675978444115	1675978444215	OK	 
REQUEST		request_29	1675978451218	1675978451279	OK	 
REQUEST		request_30	1675978451281	1675978451390	OK	 
REQUEST		request_31	1675978452393	1675978452560	OK	 
REQUEST		request_32	1675978465563	1675978465944	OK	 
REQUEST		request_33	1675978465946	1675978466040	OK	 
REQUEST		request_34	1675978467042	1675978467212	OK	 
REQUEST		request_35	1675978477214	1675978477579	OK	 
REQUEST		request_36	1675978477581	1675978477722	OK	 
REQUEST		request_37	1675978478725	1675978479092	OK	 
REQUEST		request_38	1675978494096	1675978494458	OK	 
REQUEST		request_39	1675978494460	1675978494568	OK	 
USER	RecordedSimulation	END	1675978494572
